Year,ACCESS-CM2,ACCESS-ESM1-5,AWI-CM-1-1-MR,BCC-CSM2-MR,CAMS-CSM1-0,CESM2,CESM2-WACCM,CNRM-CM6-1,CNRM-ESM2-1,CanESM5,EC-Earth3,EC-Earth3-Veg,FGOALS-f3-L,GFDL-CM4,GFDL-ESM4,HadGEM3-GC31-LL,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,MIROC-ES2L,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NESM3,NorESM2-LM,UKESM1-0-LL
2068,0.134658083,0.447813302,0.228879958,2.150791883,6.13471508,0.150261268,0.21372278,3.270974874,2.535234451,0.052221548,0.093810692,0.010171597,0.322189629,1.947256088,1.595640182,0.011,5.764131069,4.856775284,0.221077576,0.389044166,0.2012375,0.9266361,0.408189893,0.556410279,0.057755262,0.502892077,0.025
2069,0.105021194,0.231785178,0.248487756,2.271679878,4.803475857,0.199669927,0.180979297,1.591457367,2.286993742,0.026511008,0.176820725,0.021506602,0.19297725,0.7881459,1.107251167,0.01,6.204922199,4.132329941,0.078002118,0.128747836,0.252385408,0.49280405,0.702474475,0.143494256,0.081951231,0.853619039,0.054
2070,0.088172868,0.177575663,0.240299672,1.251894355,5.322425842,0.196318239,0.199685082,1.54837513,1.742200494,0.005074508,0.556732357,0.191876933,0.300567955,0.704790831,2.151162624,0.022,5.342606544,3.281925201,0.012660795,0.244901687,0.106214941,0.420271039,1.348716021,0.099843544,0.073533557,1.915645361,0.027
2071,0.079223894,0.354647011,0.010383533,2.161857128,5.013682842,0.170731694,0.233965978,1.001665592,1.924226046,0.129776359,0.447610408,0.146742642,0.824923873,0.735788524,3.673020601,0.02,5.487956524,3.705006361,0.000503974,0.593236864,0.162009761,0.094270319,1.329183459,0.059560418,0.092859738,0.989352405,0.01
2072,0.050353549,0.567187846,0.055839531,1.844150424,5.492481232,0.138867408,0.219001338,1.856519222,1.060608625,0.047252927,0.413724631,0.44066897,0.416658252,1.443997025,2.329067707,0.019,5.215638638,4.265155315,0.019600501,0.347465426,0.180033639,1.281550288,1.451942325,0.099490936,0.199373603,2.185553551,0.025
2073,0.036007918,0.666054487,0.001990551,3.223526716,5.74955225,0.109367378,0.174141049,1.877547264,0.864773631,0.002759251,0.418544978,0.355953038,0.783975363,0.474783689,1.642315626,0.015,5.182639599,4.138980865,0.005121174,0.312137574,0.16291365,0.9840464,0.593283892,0.10541403,0.146876633,1.56897831,0.015
2074,0.076437138,0.353527099,0.060931548,0.399397522,3.965168238,0.141710132,0.168939486,2.102743149,0.84315002,0.019172084,0.043104474,0.190737307,1.606913328,1.520118713,1.173059583,0.009,5.276790619,4.233043671,0.013700932,0.176073313,0.113083683,0.232444271,0.729176998,0.027213661,0.080117285,2.071234941,0.006
2075,0.055773206,0.246671051,0.555735528,0.926961005,5.425383568,0.213109791,0.334986418,1.140172958,2.572911739,0.004508555,0.511624455,0.627136827,0.944753528,1.530223131,1.967652082,0.038,5.093765259,4.365157604,0.037689604,0.14519386,0.185322523,0.880003273,1.126106262,0.198405656,0.073110424,1.004555225,0.008
2076,0.185926661,0.559147954,0.291952163,1.431186318,5.592485905,0.195629165,0.282218248,2.54603529,0.559215307,0.001277864,0.029883221,0.055881236,0.585671544,0.953574538,1.298514962,0.011,6.013421535,4.701363564,0.002690333,0.140093371,0.119919173,0.202390745,0.170068398,0.14695531,0.090997696,0.885853767,0.008
2077,0.119184352,0.246198669,0.041691948,2.144571304,5.564126492,0.230372906,0.363863677,1.390774608,0.112779222,0.103562847,0.026027972,0.015906697,0.360787272,0.653412938,1.105068564,0.013,5.575616837,4.76721859,0.027511843,0.081381321,0.087500378,0.545451701,0.584078372,0.073632015,0.062296711,0.96839571,0.004
