Year,ACCESS-CM2,ACCESS-ESM1-5,AWI-CM-1-1-MR,BCC-CSM2-MR,BCC-ESM1,CAMS-CSM1-0,CESM2,CESM2-WACCM,CNRM-CM6-1,CNRM-ESM2-1,CanESM5,E3SM-1-0,EC-Earth3,EC-Earth3-Veg,FGOALS-f3-L,GFDL-CM4,GFDL-ESM4,GISS-E2-1-G,GISS-E2-1-G-CC,GISS-E2-1-H,HadGEM3-GC31-LL,HadGEM3-GC31-MM,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,MIROC-ES2L,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NESM3,NorCPM1,NorESM2-LM,SAM0-UNICON,UKESM1-0-LL
1978,15.654768943786621,14.42976188659668,14.907898902893066,17.017715454101562,17.863237380981445,18.53700828552246,14.190613746643066,14.399873733520508,15.824278831481934,15.323962211608887,15.751058578491211,20.82659149169922,17.739328384399414,14.775277137756348,11.08863639831543,15.196324348449707,14.55056381225586,17.789670944213867,17.680416107177734,21.686145782470703,16.469,14.239,16.56632423400879,15.358224868774414,15.276206970214844,12.706178665161133,11.989728927612305,14.808273315429688,14.410038948059082,14.49212841655936,19.457517623901367,14.746567726135254,14.484158515930176,15.872529983520508,18.006
1979,15.608644485473633,14.140060424804688,15.214651107788086,17.081018447875977,17.702497482299805,18.999237060546875,14.361334800720215,14.188811302185059,15.88766098022461,15.263551712036133,16.261537551879883,21.11894416809082,17.549509048461914,15.203198432922363,11.542745590209961,15.656576156616211,14.66666316986084,17.76445960998535,17.210491180419922,21.42879295349121,15.588,14.2,16.732234954833984,15.950008392333984,14.495463371276855,13.135009765625,12.093196868896484,14.442814826965332,13.371509552001953,14.838197864666595,19.050683975219727,14.64930534362793,14.081698417663574,16.130096435546875,17.552
1980,15.780001640319824,14.543055534362793,16.08790397644043,17.008350372314453,17.42487144470215,19.74776268005371,13.951066970825195,14.374771118164062,15.631985664367676,15.315099716186523,16.03603172302246,19.832195281982422,17.730710983276367,14.88483715057373,11.483316421508789,15.565905570983887,14.723603248596191,17.632549285888672,17.254947662353516,21.420141220092773,15.788,14.303,16.314844131469727,15.849365234375,14.638184547424316,12.907379150390625,12.002703666687012,14.77857780456543,13.906010627746582,14.672728884031415,19.86994171142578,14.576070785522461,14.021199226379395,15.976177215576172,16.937
1981,15.9443359375,14.731583595275879,15.658597946166992,16.85281753540039,17.85894012451172,20.164535522460938,13.810832977294922,14.162307739257812,15.360518455505371,15.326284408569336,15.740160942077637,20.15838623046875,17.672040939331055,14.461355209350586,11.508254051208496,15.920989990234375,14.73967456817627,17.618736267089844,17.180496215820312,20.608247756958008,16.193,14.51,16.306232452392578,16.426525115966797,13.961441993713379,12.840331077575684,12.080574989318848,13.913637161254883,13.733267784118652,14.75817652963493,19.260576248168945,14.676283836364746,14.046841621398926,15.286248207092285,16.888
1982,15.713324546813965,14.592406272888184,15.731367111206055,16.402179718017578,17.99258804321289,19.928382873535156,13.92883014678955,14.21151065826416,15.295087814331055,14.89215087890625,15.469715118408203,20.56214714050293,16.712413787841797,14.433243751525879,11.707359313964844,15.71966552734375,14.629236221313477,16.81220054626465,17.42989730834961,20.569414138793945,16.398,14.627,15.881593704223633,15.284542083740234,14.608724594116211,12.443740844726562,12.261408805847168,14.025379180908203,14.328272819519043,14.44045451090544,18.95903968811035,14.738607406616211,14.208577156066895,16.411720275878906,17.338
1983,15.610382080078125,14.811124801635742,15.254429817199707,16.632230758666992,18.47757339477539,19.637130737304688,14.09085464477539,14.217480659484863,15.163589477539062,15.28897476196289,15.587494850158691,20.4615421295166,16.57849884033203,14.487199783325195,12.064824104309082,15.659396171569824,14.444440841674805,16.160560607910156,17.748714447021484,20.599376678466797,16.553,14.686,15.424150466918945,15.297409057617188,14.637140274047852,12.538928031921387,12.15156364440918,13.494990348815918,13.931100845336914,14.318545081766636,18.94116973876953,14.679823875427246,14.410253524780273,16.040077209472656,16.933
1984,16.39811134338379,14.86253547668457,15.428027153015137,16.936410903930664,18.18174934387207,20.436697006225586,13.989266395568848,14.323478698730469,15.076574325561523,15.01526165008545,15.302595138549805,20.626407623291016,16.89996910095215,14.424296379089355,11.563941955566406,15.527868270874023,14.207064628601074,16.797657012939453,17.97715187072754,20.57617950439453,16.991,14.782,16.37270736694336,15.210966110229492,15.060674667358398,12.732348442077637,11.858719825744629,14.32036304473877,14.265156745910645,14.366490211211943,19.572830200195312,14.580251693725586,14.130179405212402,15.886435508728027,17.23
1985,16.06639289855957,15.356084823608398,14.869976043701172,17.2675724029541,18.26052474975586,19.96881675720215,14.01807975769043,14.743426322937012,15.129607200622559,14.872427940368652,15.589853286743164,21.319318771362305,16.623395919799805,14.688309669494629,11.332708358764648,15.552253723144531,14.171712875366211,17.52536392211914,17.21910858154297,20.97698974609375,16.693,14.867,15.955259323120117,16.124040603637695,14.66124439239502,12.533799171447754,12.099862098693848,14.448689460754395,14.380753517150879,14.095185284322111,19.328603744506836,14.335039138793945,14.269686698913574,15.751976013183594,17.126
1986,16.21308708190918,14.953753471374512,15.072961807250977,16.937053680419922,17.953773498535156,19.781455993652344,13.907541275024414,14.41358757019043,15.435687065124512,14.965422630310059,15.608065605163574,20.985145568847656,17.345409393310547,14.749320030212402,11.505293846130371,15.7179594039917,13.887248039245605,17.204265594482422,17.025182723999023,20.720306396484375,16.334,14.622,16.144594192504883,16.602237701416016,15.181300163269043,12.780243873596191,12.00622272491455,14.44237995147705,13.935245513916016,14.487502482924949,18.989225387573242,14.18580150604248,14.28813648223877,14.83211898803711,16.743
1987,16.345430374145508,14.502792358398438,15.321138381958008,16.9755916595459,18.23159408569336,19.759632110595703,13.968011856079102,14.337326049804688,15.01754379272461,14.486385345458984,15.518200874328613,20.53744125366211,16.880773544311523,14.696017265319824,11.732401847839355,15.624237060546875,13.43531608581543,16.912134170532227,17.49382972717285,20.487295150756836,16.294,14.949,15.791760444641113,16.741252899169922,14.986679077148438,12.334044456481934,11.903066635131836,15.604235649108887,14.037907600402832,14.589688399223109,19.057676315307617,14.51113510131836,13.862859725952148,15.625200271606445,16.868
